,DaysFromStart,Score,k_cat,a,b,c,d,e,f
237,14,44491.32071,c,0,0,1,0,0,0
238,14,38374.39692,b,0,1,0,0,0,0
239,14,34798.38988,b,0,1,0,0,0,0
240,14,41855.03551,c,0,0,1,0,0,0
241,14,36555.84074,b,0,1,0,0,0,0
242,14,44592.167839999995,c,0,0,1,0,0,0
243,14,35212.21171,b,0,1,0,0,0,0
244,14,54918.0115,d,0,0,0,1,0,0
245,14,39448.151139999994,b,0,1,0,0,0,0
246,14,44576.39991,c,0,0,1,0,0,0
247,14,54918.0115,d,0,0,0,1,0,0
248,14,112083.61860999999,e,0,0,0,0,1,0
249,14,44557.40202,c,0,0,1,0,0,0
250,14,42711.71936,c,0,0,1,0,0,0
251,14,44505.43764,c,0,0,1,0,0,0
252,14,31160.446210000002,a,1,0,0,0,0,0
253,14,49267.58973,c,0,0,1,0,0,0
254,14,41257.77207,c,0,0,1,0,0,0
255,14,38025.83734,b,0,1,0,0,0,0
256,14,38111.75614,b,0,1,0,0,0,0
257,14,39851.05685,b,0,1,0,0,0,0
258,14,45276.77818,c,0,0,1,0,0,0
259,14,27683.2592,a,1,0,0,0,0,0
260,14,37889.866519999996,b,0,1,0,0,0,0
261,14,42610.54288,c,0,0,1,0,0,0
262,14,37465.79044,b,0,1,0,0,0,0
263,14,36861.8032,b,0,1,0,0,0,0
264,14,39243.877739999996,b,0,1,0,0,0,0
265,15,35747.959160000006,b,0,1,0,0,0,0
266,15,27903.97963,a,1,0,0,0,0,0
267,15,28527.77248,a,1,0,0,0,0,0
269,15,38666.00353,b,0,1,0,0,0,0
270,15,28175.96965,a,1,0,0,0,0,0
272,15,42606.12861,c,0,0,1,0,0,0
273,15,37669.04818,b,0,1,0,0,0,0
274,15,43795.45768,c,0,0,1,0,0,0
276,15,38662.74748,b,0,1,0,0,0,0
277,15,40994.79595,c,0,0,1,0,0,0
278,15,72387.00477,d,0,0,0,1,0,0
279,15,35682.71827,b,0,1,0,0,0,0
280,15,36339.78583,b,0,1,0,0,0,0
281,15,33339.621380000004,a,1,0,0,0,0,0
282,15,33025.19501,a,1,0,0,0,0,0
283,15,37666.38661,b,0,1,0,0,0,0
284,15,37639.09141,b,0,1,0,0,0,0
285,15,31688.29675,a,1,0,0,0,0,0
286,15,36728.63315,b,0,1,0,0,0,0
287,15,27853.01183,a,1,0,0,0,0,0
288,15,30797.68515,a,1,0,0,0,0,0
289,15,27672.9013,a,1,0,0,0,0,0
290,15,27616.1885,a,1,0,0,0,0,0
291,15,65611.05132,d,0,0,0,1,0,0
292,15,28257.094660000002,a,1,0,0,0,0,0
293,15,32911.67966,a,1,0,0,0,0,0
294,15,34392.418139999994,b,0,1,0,0,0,0
295,15,29995.76608,a,1,0,0,0,0,0
296,15,43156.24445,c,0,0,1,0,0,0
297,15,27566.789660000002,a,1,0,0,0,0,0
298,15,41275.17527,c,0,0,1,0,0,0
299,15,27562.79614,a,1,0,0,0,0,0
300,15,27493.885469999997,a,1,0,0,0,0,0
301,15,35944.76958,b,0,1,0,0,0,0
302,15,41700.6831,c,0,0,1,0,0,0
303,15,34667.66986,b,0,1,0,0,0,0
304,15,43005.51367,c,0,0,1,0,0,0
305,15,41690.30897,c,0,0,1,0,0,0
306,15,38320.99545,b,0,1,0,0,0,0
307,15,43450.17769,c,0,0,1,0,0,0
308,15,38558.46787,b,0,1,0,0,0,0
309,15,39872.4349,b,0,1,0,0,0,0
310,15,39008.02198,b,0,1,0,0,0,0
311,15,30305.0563,a,1,0,0,0,0,0
312,15,45539.41699,c,0,0,1,0,0,0
313,15,38761.98277,b,0,1,0,0,0,0
314,15,39185.66338,b,0,1,0,0,0,0
315,15,29538.239889999997,a,1,0,0,0,0,0
316,15,35959.585960000004,b,0,1,0,0,0,0
317,15,28068.39503,a,1,0,0,0,0,0
318,15,41177.98829,c,0,0,1,0,0,0
319,15,36970.74649,b,0,1,0,0,0,0
320,15,35493.78776,b,0,1,0,0,0,0
321,15,105579.90423,e,0,0,0,0,1,0
322,15,36913.18365,b,0,1,0,0,0,0
323,15,37637.907530000004,b,0,1,0,0,0,0
324,15,94185.44135,e,0,0,0,0,1,0
325,15,43129.55059,c,0,0,1,0,0,0
326,15,42287.64181,c,0,0,1,0,0,0
327,15,37598.381030000004,b,0,1,0,0,0,0
328,15,41605.62547,c,0,0,1,0,0,0
329,15,41376.493910000005,c,0,0,1,0,0,0
330,15,39851.31771,b,0,1,0,0,0,0
331,15,44400.61567,c,0,0,1,0,0,0
332,15,41571.8227,c,0,0,1,0,0,0
333,15,38717.90707,b,0,1,0,0,0,0
334,15,39397.607189999995,b,0,1,0,0,0,0
335,15,38048.05778,b,0,1,0,0,0,0
336,15,36709.07109,b,0,1,0,0,0,0
337,15,27619.683530000002,a,1,0,0,0,0,0
338,15,94185.44134,e,0,0,0,0,1,0
339,15,44151.52816,c,0,0,1,0,0,0
340,15,42321.9857,c,0,0,1,0,0,0
341,15,41952.8033,c,0,0,1,0,0,0
342,15,54281.18531,d,0,0,0,1,0,0
343,15,52911.22584,d,0,0,0,1,0,0
344,15,45414.6941,c,0,0,1,0,0,0
345,15,44848.76618,c,0,0,1,0,0,0
346,16,34927.175339999994,b,0,1,0,0,0,0
347,16,42063.02985,c,0,0,1,0,0,0
348,16,44999.23966,c,0,0,1,0,0,0
349,16,42455.84545,c,0,0,1,0,0,0
350,16,40148.93835,b,0,1,0,0,0,0
351,16,36396.79856,b,0,1,0,0,0,0
352,16,34246.15821,b,0,1,0,0,0,0
353,16,35975.065819999996,b,0,1,0,0,0,0
354,16,27346.07663,a,1,0,0,0,0,0
355,16,38440.40303,b,0,1,0,0,0,0
356,16,41981.8233,c,0,0,1,0,0,0
357,16,32865.343310000004,a,1,0,0,0,0,0
359,16,48362.73502,c,0,0,1,0,0,0
360,16,36733.74439,b,0,1,0,0,0,0
361,16,27504.6404,a,1,0,0,0,0,0
362,16,33048.7225,a,1,0,0,0,0,0
363,16,38264.52512,b,0,1,0,0,0,0
364,16,29347.09554,a,1,0,0,0,0,0
365,16,40662.385369999996,b,0,1,0,0,0,0
366,16,42883.8238,c,0,0,1,0,0,0
367,16,49487.15837,c,0,0,1,0,0,0
368,16,37509.78785,b,0,1,0,0,0,0
369,16,44790.851910000005,c,0,0,1,0,0,0
370,16,45901.92307,c,0,0,1,0,0,0
371,16,34661.151789999996,b,0,1,0,0,0,0
372,16,37440.29258,b,0,1,0,0,0,0
373,16,42252.973560000006,c,0,0,1,0,0,0
374,16,40930.70002,c,0,0,1,0,0,0
375,16,60609.95905,d,0,0,0,1,0,0
377,16,35249.17752,b,0,1,0,0,0,0
378,16,32846.9888,a,1,0,0,0,0,0
379,16,36660.46116,b,0,1,0,0,0,0
380,16,41798.95698,c,0,0,1,0,0,0
381,16,40479.37504,b,0,1,0,0,0,0
382,16,38306.357280000004,b,0,1,0,0,0,0
383,16,37884.15065,b,0,1,0,0,0,0
384,16,46728.14178,c,0,0,1,0,0,0
385,16,43686.91178,c,0,0,1,0,0,0
386,16,36923.29916,b,0,1,0,0,0,0
387,16,45170.1549,c,0,0,1,0,0,0
388,16,37140.1219,b,0,1,0,0,0,0
389,16,35707.41788,b,0,1,0,0,0,0
390,16,35516.11552,b,0,1,0,0,0,0
391,16,33573.19597,a,1,0,0,0,0,0
392,16,40538.59803,b,0,1,0,0,0,0
393,16,39850.546310000005,b,0,1,0,0,0,0
394,16,41557.952189999996,c,0,0,1,0,0,0
395,16,38212.33432,b,0,1,0,0,0,0
396,16,948830.62361,g,0,0,0,0,0,0
397,16,42881.30216,c,0,0,1,0,0,0
398,16,42790.97349,c,0,0,1,0,0,0
399,16,35573.34188,b,0,1,0,0,0,0
400,16,42990.12638,c,0,0,1,0,0,0
401,16,35918.18554,b,0,1,0,0,0,0
402,16,42854.3703,c,0,0,1,0,0,0
403,16,42089.23789,c,0,0,1,0,0,0
404,16,34613.56867,b,0,1,0,0,0,0
405,16,38436.32772,b,0,1,0,0,0,0
406,16,33876.472010000005,b,0,1,0,0,0,0
407,16,39493.47961,b,0,1,0,0,0,0
408,16,36841.973860000006,b,0,1,0,0,0,0
409,16,202503.04717,f,0,0,0,0,0,1
410,16,33338.67287,a,1,0,0,0,0,0
411,16,35461.341889999996,b,0,1,0,0,0,0
412,16,113109.62269,e,0,0,0,0,1,0
413,16,42409.48538,c,0,0,1,0,0,0
414,16,32405.83112,a,1,0,0,0,0,0
415,16,45719.35633,c,0,0,1,0,0,0
416,16,41496.53291,c,0,0,1,0,0,0
417,16,34748.78092,b,0,1,0,0,0,0
418,16,37173.13909,b,0,1,0,0,0,0
419,16,38771.55844,b,0,1,0,0,0,0
420,16,53447.86503,d,0,0,0,1,0,0
421,16,39333.665310000004,b,0,1,0,0,0,0
422,16,41572.13748,c,0,0,1,0,0,0
423,16,99185.92947999999,e,0,0,0,0,1,0
424,16,46149.05803,c,0,0,1,0,0,0
425,17,40071.8337,b,0,1,0,0,0,0
426,17,39752.165689999994,b,0,1,0,0,0,0
427,17,42067.79837,c,0,0,1,0,0,0
428,17,27026.016839999997,a,1,0,0,0,0,0
429,17,25750.70095,a,1,0,0,0,0,0
430,17,34674.10807,b,0,1,0,0,0,0
431,17,44696.24107,c,0,0,1,0,0,0
432,17,44592.1583,c,0,0,1,0,0,0
433,17,27184.374260000004,a,1,0,0,0,0,0
434,17,38603.57174,b,0,1,0,0,0,0
435,17,37455.75973,b,0,1,0,0,0,0
436,17,40394.45549,b,0,1,0,0,0,0
437,17,27079.40039,a,1,0,0,0,0,0
438,17,41275.77894,c,0,0,1,0,0,0
439,17,40913.43259,c,0,0,1,0,0,0
440,17,41997.2675,c,0,0,1,0,0,0
441,17,26974.67672,a,1,0,0,0,0,0
442,17,24381.16895,a,1,0,0,0,0,0
443,17,81075.1946,e,0,0,0,0,1,0
444,17,41748.02593,c,0,0,1,0,0,0
